IHE-MADO,EU-MADO,MS,Consumer,Producer,Documentation,EHDS,EHDS-Consumer,EHDS-Producer
MadoFhirBundle.entry[web-endpoint],EuMadoBundle.entry[web-endpoint],MS,,SHALL:populate-if-known,Required by MADO,,,
MadoFhirBundle.entry[creator],EuMadoBundle.entry[creator],MS,,SHALL:populate,Required by MADO,,,
MadoFhirBundle.entry[creator-organization],EuMadoBundle.entry[creator-organization],MS,,SHALL:populate,Required by MADO,,,
MadoFhirBundle.entry[requested-procedure],EuMadoBundle.entry[requested-procedure],MS,,SHALL:able-to-populate,Required by MADO.,,,
MadoFhirBundle.signature,EuMadoBundle.signature,,,,,,,
MadoComposition.id,EuMadoComposition.id,,,,,,,
MadoComposition.meta,EuMadoComposition.meta,,,,,,,
MadoComposition.implicitRules,EuMadoComposition.implicitRules,,,,,,,
MadoComposition.language,EuMadoComposition.language,MS,SHOULD:process,SHALL:able-to-populate,EHDSImagingStudy.language,,,
MadoComposition.text,EuMadoComposition.text,MS,,SHALL:populate,From MADO,,,
MadoComposition.text.id,EuMadoComposition.text.id,,,,,,,
MadoComposition.text.extension,EuMadoComposition.text.extension,,,,,,,
MadoComposition.text.status,EuMadoComposition.text.status,,,,,,,
MadoComposition.text.div,EuMadoComposition.text.div,,,,,,,
MadoComposition.contained,EuMadoComposition.contained,,,,,,,
MadoComposition.extension,EuMadoComposition.extension,,,,,,,
MadoComposition.modifierExtension,EuMadoComposition.modifierExtension,,,,,,,
MadoComposition.identifier,EuMadoComposition.identifier,MS,,SHALL:populate,From MADO,,,
MadoComposition.status,EuMadoComposition.status,MS,SHOULD:process,SHALL:able-to-populate,EHDSImagingStudy.status,,,
MadoComposition.type,EuMadoComposition.type,MS,,SHALL:able-to-populate,From MADO,,,
MadoComposition.category,EuMadoComposition.category,MS,,SHOULD:able-to-populate,From MADO,,,
MadoComposition.subject,EuMadoComposition.subject,MS,SHOULD:process,SHALL:able-to-populate,EHDSImagingStudy.subject,,,
MadoComposition.encounter,EuMadoComposition.encounter,,,,,,,
MadoComposition.date,EuMadoComposition.date,MS,SHOULD:process,SHALL:able-to-populate,EHDSImagingStudy.date,,,
MadoComposition.author,EuMadoComposition.author,,,,,,,
MadoComposition.author[source-organization],EuMadoComposition.author[source-organization],MS,SHOULD:process,SHALL:able-to-populate,EHDSImagingStudy.author[EHDSOrganization],,,
MadoComposition.author[source-device],EuMadoComposition.author[source-device],MS,SHOULD:process,SHALL:able-to-populate,EHDSImagingStudy.author[EHDSDevice],,,
MadoComposition.title,EuMadoComposition.title,MS,,SHALL:populate,From MADO,,,
MadoComposition.confidentiality,EuMadoComposition.confidentiality,,,,,,,
MadoComposition.attester,EuMadoComposition.attester,,,,,,,
MadoComposition.attester.id,EuMadoComposition.attester.id,,,,,,,
MadoComposition.attester.extension,EuMadoComposition.attester.extension,,,,,,,
MadoComposition.attester.modifierExtension,EuMadoComposition.attester.modifierExtension,,,,,,,
MadoComposition.attester.mode,EuMadoComposition.attester.mode,,,,,,,
MadoComposition.attester.time,EuMadoComposition.attester.time,,,,,,,
MadoComposition.attester.party,EuMadoComposition.attester.party,,,,,,,
MadoComposition.custodian,EuMadoComposition.custodian,MS,SHOULD:process,SHALL:able-to-populate,EHDSImagingStudy.custodian,,,
MadoComposition.relatesTo,EuMadoComposition.relatesTo,,,,,,,
MadoComposition.relatesTo.id,EuMadoComposition.relatesTo.id,,,,,,,
MadoComposition.relatesTo.extension,EuMadoComposition.relatesTo.extension,,,,,,,
MadoComposition.relatesTo.modifierExtension,EuMadoComposition.relatesTo.modifierExtension,,,,,,,
MadoComposition.relatesTo.code,EuMadoComposition.relatesTo.code,,,,,,,
MadoComposition.relatesTo.target[x],EuMadoComposition.relatesTo.target[x],,,,,,,
MadoComposition.event,EuMadoComposition.event,,,,,,,
MadoComposition.event.id,EuMadoComposition.event.id,,,,,,,
MadoComposition.event.extension,EuMadoComposition.event.extension,,,,,,,
MadoComposition.event.modifierExtension,EuMadoComposition.event.modifierExtension,,,,,,,
MadoComposition.event.code,EuMadoComposition.event.code,,,,,,,
MadoComposition.event.period,EuMadoComposition.event.period,,,,,,,
MadoComposition.event.detail,EuMadoComposition.event.detail,,,,,,,
MadoComposition.event[imaging-study],EuMadoComposition.event[imaging-study],MS,,SHALL:populate,From MADO,,,
MadoComposition.section,EuMadoComposition.section,MS,,MAY:able-to-populate,From MADO,,,
MadoComposition.section.id,EuMadoComposition.section.id,,,,,,,
MadoComposition.section.extension,EuMadoComposition.section.extension,,,,,,,
MadoComposition.section.modifierExtension,EuMadoComposition.section.modifierExtension,,,,,,,
MadoComposition.section.title,EuMadoComposition.section.title,,,,,,,
MadoComposition.section.code,EuMadoComposition.section.code,,,,,,,
MadoComposition.section.author,EuMadoComposition.section.author,,,,,,,
MadoComposition.section.focus,EuMadoComposition.section.focus,,,,,,,
MadoComposition.section.text,EuMadoComposition.section.text,MS,,SHALL:populate,From MADO,,,
MadoComposition.section.text.id,EuMadoComposition.section.text.id,,,,,,,
MadoComposition.section.text.extension,EuMadoComposition.section.text.extension,,,,,,,
MadoComposition.section.text.status,EuMadoComposition.section.text.status,,,,,,,
MadoComposition.section.text.div,EuMadoComposition.section.text.div,,,,,,,
MadoComposition.section.mode,EuMadoComposition.section.mode,,,,,,,
MadoComposition.section.orderedBy,EuMadoComposition.section.orderedBy,,,,,,,
MadoComposition.section.entry,EuMadoComposition.section.entry,,,,,,,
MadoComposition.section.emptyReason,EuMadoComposition.section.emptyReason,,,,,,,
MadoComposition.section.section,EuMadoComposition.section.section,,,,,,,
MadoCreator.id,EuMadoCreator.id,,,,,,,
MadoCreator.meta,EuMadoCreator.meta,,,,,,,
MadoCreator.implicitRules,EuMadoCreator.implicitRules,,,,,,,
MadoCreator.language,EuMadoCreator.language,,,,,,,
MadoCreator.text,EuMadoCreator.text,,,,,,,
MadoCreator.contained,EuMadoCreator.contained,,,,,,,
MadoCreator.extension,EuMadoCreator.extension,,,,,,,
MadoCreator.modifierExtension,EuMadoCreator.modifierExtension,,,,,,,
MadoCreator.identifier,EuMadoCreator.identifier,,,,,,,
MadoCreator.definition,EuMadoCreator.definition,,,,,,,
MadoCreator.udiCarrier,EuMadoCreator.udiCarrier,,,,,,,
MadoCreator.udiCarrier.id,EuMadoCreator.udiCarrier.id,,,,,,,
MadoCreator.udiCarrier.extension,EuMadoCreator.udiCarrier.extension,,,,,,,
MadoCreator.udiCarrier.modifierExtension,EuMadoCreator.udiCarrier.modifierExtension,,,,,,,
MadoCreator.udiCarrier.deviceIdentifier,EuMadoCreator.udiCarrier.deviceIdentifier,,,,,,,
MadoCreator.udiCarrier.issuer,EuMadoCreator.udiCarrier.issuer,,,,,,,
MadoCreator.udiCarrier.jurisdiction,EuMadoCreator.udiCarrier.jurisdiction,,,,,,,
MadoCreator.udiCarrier.carrierAIDC,EuMadoCreator.udiCarrier.carrierAIDC,,,,,,,
MadoCreator.udiCarrier.carrierHRF,EuMadoCreator.udiCarrier.carrierHRF,,,,,,,
MadoCreator.udiCarrier.entryType,EuMadoCreator.udiCarrier.entryType,,,,,,,
MadoCreator.status,EuMadoCreator.status,,,,,,,
MadoCreator.statusReason,EuMadoCreator.statusReason,,,,,,,
MadoCreator.distinctIdentifier,EuMadoCreator.distinctIdentifier,,,,,,,
MadoCreator.manufacturer,EuMadoCreator.manufacturer,MS,,SHALL:able-to-populate,Required by MADO,,,
MadoCreator.manufactureDate,EuMadoCreator.manufactureDate,,,,,,,
MadoCreator.expirationDate,EuMadoCreator.expirationDate,,,,,,,
MadoCreator.lotNumber,EuMadoCreator.lotNumber,,,,,,,
MadoCreator.serialNumber,EuMadoCreator.serialNumber,,,,,,,
MadoCreator.deviceName,EuMadoCreator.deviceName,,,,,,,
MadoCreator.deviceName.id,EuMadoCreator.deviceName.id,,,,,,,
MadoCreator.deviceName.extension,EuMadoCreator.deviceName.extension,,,,,,,
MadoCreator.deviceName.modifierExtension,EuMadoCreator.deviceName.modifierExtension,,,,,,,
MadoCreator.deviceName.name,EuMadoCreator.deviceName.name,,,,,,,
MadoCreator.deviceName.type,EuMadoCreator.deviceName.type,,,,,,,
MadoCreator.modelNumber,EuMadoCreator.modelNumber,,,,,,,
MadoCreator.partNumber,EuMadoCreator.partNumber,,,,,,,
MadoCreator.type,EuMadoCreator.type,MS,,SHALL:able-to-populate,Required by MADO,,,
MadoCreator.type.id,EuMadoCreator.type.id,,,,,,,
MadoCreator.type.extension,EuMadoCreator.type.extension,,,,,,,
MadoCreator.type.coding,EuMadoCreator.type.coding,,,,,,,
MadoCreator.type.coding.id,EuMadoCreator.type.coding.id,,,,,,,
MadoCreator.type.coding.extension,EuMadoCreator.type.coding.extension,,,,,,,
MadoCreator.type.coding.system,EuMadoCreator.type.coding.system,,,,,,,
MadoCreator.type.coding.version,EuMadoCreator.type.coding.version,,,,,,,
MadoCreator.type.coding.code,EuMadoCreator.type.coding.code,,,,,,,
MadoCreator.type.coding.display,EuMadoCreator.type.coding.display,,,,,,,
MadoCreator.type.coding.userSelected,EuMadoCreator.type.coding.userSelected,,,,,,,
MadoCreator.type.text,EuMadoCreator.type.text,,,,,,,
MadoCreator.specialization,EuMadoCreator.specialization,,,,,,,
MadoCreator.specialization.id,EuMadoCreator.specialization.id,,,,,,,
MadoCreator.specialization.extension,EuMadoCreator.specialization.extension,,,,,,,
MadoCreator.specialization.modifierExtension,EuMadoCreator.specialization.modifierExtension,,,,,,,
MadoCreator.specialization.systemType,EuMadoCreator.specialization.systemType,,,,,,,
MadoCreator.specialization.version,EuMadoCreator.specialization.version,,,,,,,
MadoCreator.version,EuMadoCreator.version,,,,,,,
MadoCreator.version.id,EuMadoCreator.version.id,,,,,,,
MadoCreator.version.extension,EuMadoCreator.version.extension,,,,,,,
MadoCreator.version.modifierExtension,EuMadoCreator.version.modifierExtension,,,,,,,
MadoCreator.version.type,EuMadoCreator.version.type,,,,,,,
MadoCreator.version.component,EuMadoCreator.version.component,,,,,,,
MadoCreator.version.value,EuMadoCreator.version.value,,,,,,,
MadoCreator.property,EuMadoCreator.property,,,,,,,
MadoCreator.property.id,EuMadoCreator.property.id,,,,,,,
MadoCreator.property.extension,EuMadoCreator.property.extension,,,,,,,
MadoCreator.property.modifierExtension,EuMadoCreator.property.modifierExtension,,,,,,,
MadoCreator.property.type,EuMadoCreator.property.type,,,,,,,
MadoCreator.property.valueQuantity,EuMadoCreator.property.valueQuantity,,,,,,,
MadoCreator.property.valueCode,EuMadoCreator.property.valueCode,,,,,,,
MadoCreator.patient,EuMadoCreator.patient,,,,,,,
MadoCreator.owner,EuMadoCreator.owner,MS,,SHALL:able-to-populate,Required by MADO,,,
MadoCreator.contact,EuMadoCreator.contact,,,,,,,
MadoCreator.location,EuMadoCreator.location,,,,,,,
MadoCreator.url,EuMadoCreator.url,,,,,,,
MadoCreator.note,EuMadoCreator.note,,,,,,,
MadoCreator.safety,EuMadoCreator.safety,,,,,,,
MadoCreator.parent,EuMadoCreator.parent,,,,,,,
MadoCreatorOrganization.id,EuMadoCreatorOrganization.id,,,,,,,
MadoCreatorOrganization.meta,EuMadoCreatorOrganization.meta,,,,,,,
MadoCreatorOrganization.implicitRules,EuMadoCreatorOrganization.implicitRules,,,,,,,
MadoCreatorOrganization.language,EuMadoCreatorOrganization.language,,,,,,,
MadoCreatorOrganization.text,EuMadoCreatorOrganization.text,,,,,,,
MadoCreatorOrganization.contained,EuMadoCreatorOrganization.contained,,,,,,,
MadoCreatorOrganization.extension,EuMadoCreatorOrganization.extension,,,,,,,
MadoCreatorOrganization.modifierExtension,EuMadoCreatorOrganization.modifierExtension,,,,,,,
MadoCreatorOrganization.identifier,EuMadoCreatorOrganization.identifier,MS,,SHALL:able-to-populate,Required by MADO,,,
MadoCreatorOrganization.active,EuMadoCreatorOrganization.active,,,,,,,
MadoCreatorOrganization.type,EuMadoCreatorOrganization.type,MS,,SHALL:able-to-populate,Required by MADO,,,
MadoCreatorOrganization.name,EuMadoCreatorOrganization.name,MS,,SHALL:able-to-populate,Required by MADO,,,
MadoCreatorOrganization.alias,EuMadoCreatorOrganization.alias,,,,,,,
MadoCreatorOrganization.telecom,EuMadoCreatorOrganization.telecom,,,,,,,
MadoCreatorOrganization.address,EuMadoCreatorOrganization.address,,,,,,,
MadoCreatorOrganization.partOf,EuMadoCreatorOrganization.partOf,,,,,,,
MadoCreatorOrganization.contact,EuMadoCreatorOrganization.contact,,,,,,,
MadoCreatorOrganization.contact.id,EuMadoCreatorOrganization.contact.id,,,,,,,
MadoCreatorOrganization.contact.extension,EuMadoCreatorOrganization.contact.extension,,,,,,,
MadoCreatorOrganization.contact.modifierExtension,EuMadoCreatorOrganization.contact.modifierExtension,,,,,,,
MadoCreatorOrganization.contact.purpose,EuMadoCreatorOrganization.contact.purpose,,,,,,,
MadoCreatorOrganization.contact.name,EuMadoCreatorOrganization.contact.name,,,,,,,
MadoCreatorOrganization.contact.telecom,EuMadoCreatorOrganization.contact.telecom,,,,,,,
MadoCreatorOrganization.contact.address,EuMadoCreatorOrganization.contact.address,,,,,,,
MadoCreatorOrganization.endpoint,EuMadoCreatorOrganization.endpoint,,,,,,,
MadoDicomKosDocumentReference.id,EuMadoDicomKosDocumentReference.id,,,,,,,
MadoDicomKosDocumentReference.meta,EuMadoDicomKosDocumentReference.meta,,,,,,,
MadoDicomKosDocumentReference.meta.id,EuMadoDicomKosDocumentReference.meta.id,,,,,,,
MadoDicomKosDocumentReference.meta.extension,EuMadoDicomKosDocumentReference.meta.extension,,,,,,,
MadoDicomKosDocumentReference.meta.versionId,EuMadoDicomKosDocumentReference.meta.versionId,,,,,,,
MadoDicomKosDocumentReference.meta.lastUpdated,EuMadoDicomKosDocumentReference.meta.lastUpdated,,,,,,,
MadoDicomKosDocumentReference.meta.source,EuMadoDicomKosDocumentReference.meta.source,,,,,,,
MadoDicomKosDocumentReference.meta.profile,EuMadoDicomKosDocumentReference.meta.profile,,,,,,,
MadoDicomKosDocumentReference.meta.security,EuMadoDicomKosDocumentReference.meta.security,,,,,,,
MadoDicomKosDocumentReference.meta.tag,EuMadoDicomKosDocumentReference.meta.tag,,,,,,,
MadoDicomKosDocumentReference.implicitRules,EuMadoDicomKosDocumentReference.implicitRules,,,,,,,
MadoDicomKosDocumentReference.language,EuMadoDicomKosDocumentReference.language,,,,,,,
MadoDicomKosDocumentReference.text,EuMadoDicomKosDocumentReference.text,,,,,,,
MadoDicomKosDocumentReference.contained,EuMadoDicomKosDocumentReference.contained,,,,,,,
MadoDicomKosDocumentReference.extension,EuMadoDicomKosDocumentReference.extension,,,,,,,
MadoDicomKosDocumentReference.extension[bodysite],EuMadoDicomKosDocumentReference.extension[bodysite],MS,,,,,,
MadoDicomKosDocumentReference.extension.id,EuMadoDicomKosDocumentReference.extension.id,,,,,,,
MadoDicomKosDocumentReference.extension.extension,EuMadoDicomKosDocumentReference.extension.extension,,,,,,,
MadoDicomKosDocumentReference.extension.extension[concept],EuMadoDicomKosDocumentReference.extension.extension[concept],,,,,,,
MadoDicomKosDocumentReference.extension.extension.id,EuMadoDicomKosDocumentReference.extension.extension.id,,,,,,,
MadoDicomKosDocumentReference.extension.extension.extension,EuMadoDicomKosDocumentReference.extension.extension.extension,,,,,,,
MadoDicomKosDocumentReference.extension.extension.url,EuMadoDicomKosDocumentReference.extension.extension.url,,,,,,,
MadoDicomKosDocumentReference.extension.extension.value[x],EuMadoDicomKosDocumentReference.extension.extension.value[x],,,,,,,
MadoDicomKosDocumentReference.extension.extension[reference],EuMadoDicomKosDocumentReference.extension.extension[reference],,,,,,,
MadoDicomKosDocumentReference.extension.extension[_datatype],EuMadoDicomKosDocumentReference.extension.extension[_datatype],,,,,,,
MadoDicomKosDocumentReference.extension.url,EuMadoDicomKosDocumentReference.extension.url,,,,,,,
MadoDicomKosDocumentReference.extension.value[x],EuMadoDicomKosDocumentReference.extension.value[x],,,,,,,
MadoDicomKosDocumentReference.extension[modality],EuMadoDicomKosDocumentReference.extension[modality],MS,,,,,,
MadoDicomKosDocumentReference.modifierExtension,EuMadoDicomKosDocumentReference.modifierExtension,,,,,,,
MadoDicomKosDocumentReference.masterIdentifier,EuMadoDicomKosDocumentReference.masterIdentifier,,,,,,,
MadoDicomKosDocumentReference.identifier,EuMadoDicomKosDocumentReference.identifier,MS,,,,,,
MadoDicomKosDocumentReference.identifier[entryUUID],EuMadoDicomKosDocumentReference.identifier[entryUUID],MS,,,,,,
MadoDicomKosDocumentReference.status,EuMadoDicomKosDocumentReference.status,,,,,,,
MadoDicomKosDocumentReference.docStatus,EuMadoDicomKosDocumentReference.docStatus,,,,,,,
MadoDicomKosDocumentReference.type,EuMadoDicomKosDocumentReference.type,MS,,,,,,
MadoDicomKosDocumentReference.category,EuMadoDicomKosDocumentReference.category,MS,,,,,,
MadoDicomKosDocumentReference.subject,EuMadoDicomKosDocumentReference.subject,MS,,,,,,
MadoDicomKosDocumentReference.date,EuMadoDicomKosDocumentReference.date,MS,,,,,,
MadoDicomKosDocumentReference.author,EuMadoDicomKosDocumentReference.author,MS,,,,,,
MadoDicomKosDocumentReference.author[source-organization],EuMadoDicomKosDocumentReference.author[source-organization],MS,,,,,,
MadoDicomKosDocumentReference.author[source-device],EuMadoDicomKosDocumentReference.author[source-device],MS,,,,,,
MadoDicomKosDocumentReference.authenticator,EuMadoDicomKosDocumentReference.authenticator,,,,,,,
MadoDicomKosDocumentReference.custodian,EuMadoDicomKosDocumentReference.custodian,,,,,,,
MadoDicomKosDocumentReference.relatesTo,EuMadoDicomKosDocumentReference.relatesTo,MS,,,,,,
MadoDicomKosDocumentReference.relatesTo.id,EuMadoDicomKosDocumentReference.relatesTo.id,,,,,,,
MadoDicomKosDocumentReference.relatesTo.extension,EuMadoDicomKosDocumentReference.relatesTo.extension,,,,,,,
MadoDicomKosDocumentReference.relatesTo.modifierExtension,EuMadoDicomKosDocumentReference.relatesTo.modifierExtension,,,,,,,
MadoDicomKosDocumentReference.relatesTo.code,EuMadoDicomKosDocumentReference.relatesTo.code,,,,,,,
MadoDicomKosDocumentReference.relatesTo.target,EuMadoDicomKosDocumentReference.relatesTo.target,,,,,,,
MadoDicomKosDocumentReference.relatesTo[fhir-reference],EuMadoDicomKosDocumentReference.relatesTo[fhir-reference],MS,,,,,,
MadoDicomKosDocumentReference.description,EuMadoDicomKosDocumentReference.description,,,,,,,
MadoDicomKosDocumentReference.securityLabel,EuMadoDicomKosDocumentReference.securityLabel,MS,,,,,,
MadoDicomKosDocumentReference.content,EuMadoDicomKosDocumentReference.content,,,,,,,
MadoDicomKosDocumentReference.content.id,EuMadoDicomKosDocumentReference.content.id,,,,,,,
MadoDicomKosDocumentReference.content.extension,EuMadoDicomKosDocumentReference.content.extension,,,,,,,
MadoDicomKosDocumentReference.content.modifierExtension,EuMadoDicomKosDocumentReference.content.modifierExtension,,,,,,,
MadoDicomKosDocumentReference.content.attachment,EuMadoDicomKosDocumentReference.content.attachment,,,,,,,
MadoDicomKosDocumentReference.content.attachment.id,EuMadoDicomKosDocumentReference.content.attachment.id,,,,,,,
MadoDicomKosDocumentReference.content.attachment.extension,EuMadoDicomKosDocumentReference.content.attachment.extension,,,,,,,
MadoDicomKosDocumentReference.content.attachment.contentType,EuMadoDicomKosDocumentReference.content.attachment.contentType,,,,,,,
MadoDicomKosDocumentReference.content.attachment.language,EuMadoDicomKosDocumentReference.content.attachment.language,MS,,,,,,
MadoDicomKosDocumentReference.content.attachment.data,EuMadoDicomKosDocumentReference.content.attachment.data,,,,,,,
MadoDicomKosDocumentReference.content.attachment.url,EuMadoDicomKosDocumentReference.content.attachment.url,,,,,,,
MadoDicomKosDocumentReference.content.attachment.size,EuMadoDicomKosDocumentReference.content.attachment.size,,,,,,,
MadoDicomKosDocumentReference.content.attachment.hash,EuMadoDicomKosDocumentReference.content.attachment.hash,,,,,,,
MadoDicomKosDocumentReference.content.attachment.title,EuMadoDicomKosDocumentReference.content.attachment.title,,,,,,,
MadoDicomKosDocumentReference.content.attachment.creation,EuMadoDicomKosDocumentReference.content.attachment.creation,MS,,,,,,
MadoDicomKosDocumentReference.content.format,EuMadoDicomKosDocumentReference.content.format,MS,,,,,,
MadoDicomKosDocumentReference.context,EuMadoDicomKosDocumentReference.context,,,,,,,
MadoDicomKosDocumentReference.context.id,EuMadoDicomKosDocumentReference.context.id,,,,,,,
MadoDicomKosDocumentReference.context.extension,EuMadoDicomKosDocumentReference.context.extension,,,,,,,
MadoDicomKosDocumentReference.context.modifierExtension,EuMadoDicomKosDocumentReference.context.modifierExtension,,,,,,,
MadoDicomKosDocumentReference.context.encounter,EuMadoDicomKosDocumentReference.context.encounter,,,,,,,
MadoDicomKosDocumentReference.context.event,EuMadoDicomKosDocumentReference.context.event,,,,,,,
MadoDicomKosDocumentReference.context.period,EuMadoDicomKosDocumentReference.context.period,MS,,,,,,
MadoDicomKosDocumentReference.context.period.id,EuMadoDicomKosDocumentReference.context.period.id,,,,,,,
MadoDicomKosDocumentReference.context.period.extension,EuMadoDicomKosDocumentReference.context.period.extension,,,,,,,
MadoDicomKosDocumentReference.context.period.start,EuMadoDicomKosDocumentReference.context.period.start,,,,,,,
MadoDicomKosDocumentReference.context.period.end,EuMadoDicomKosDocumentReference.context.period.end,,,,,,,
MadoDicomKosDocumentReference.context.facilityType,EuMadoDicomKosDocumentReference.context.facilityType,MS,,,,,,
MadoDicomKosDocumentReference.context.practiceSetting,EuMadoDicomKosDocumentReference.context.practiceSetting,MS,,,,,,
MadoDicomKosDocumentReference.context.sourcePatientInfo,EuMadoDicomKosDocumentReference.context.sourcePatientInfo,MS,,,,,,
MadoDicomKosDocumentReference.context.sourcePatientInfo.id,EuMadoDicomKosDocumentReference.context.sourcePatientInfo.id,,,,,,,
MadoDicomKosDocumentReference.context.sourcePatientInfo.extension,EuMadoDicomKosDocumentReference.context.sourcePatientInfo.extension,,,,,,,
MadoDicomKosDocumentReference.context.sourcePatientInfo.reference,EuMadoDicomKosDocumentReference.context.sourcePatientInfo.reference,,,,,,,
MadoDicomKosDocumentReference.context.sourcePatientInfo.type,EuMadoDicomKosDocumentReference.context.sourcePatientInfo.type,,,,,,,
MadoDicomKosDocumentReference.context.sourcePatientInfo.identifier,EuMadoDicomKosDocumentReference.context.sourcePatientInfo.identifier,,,,,,,
MadoDicomKosDocumentReference.context.sourcePatientInfo.display,EuMadoDicomKosDocumentReference.context.sourcePatientInfo.display,,,,,,,
MadoDicomKosDocumentReference.context.related,EuMadoDicomKosDocumentReference.context.related,,,,,,,
MadoDicomKosDocumentReference.context.related[study-instance-uid],EuMadoDicomKosDocumentReference.context.related[study-instance-uid],MS,,,,,,
MadoDicomKosDocumentReference.context.related[accession-number],EuMadoDicomKosDocumentReference.context.related[accession-number],MS,,,,,,
MadoFhirDocumentReference.id,EuMadoFhirDocumentReference.id,,,,,,,
MadoFhirDocumentReference.meta,EuMadoFhirDocumentReference.meta,,,,,,,
MadoFhirDocumentReference.meta.id,EuMadoFhirDocumentReference.meta.id,,,,,,,
MadoFhirDocumentReference.meta.extension,EuMadoFhirDocumentReference.meta.extension,,,,,,,
MadoFhirDocumentReference.meta.versionId,EuMadoFhirDocumentReference.meta.versionId,,,,,,,
MadoFhirDocumentReference.meta.lastUpdated,EuMadoFhirDocumentReference.meta.lastUpdated,,,,,,,
MadoFhirDocumentReference.meta.source,EuMadoFhirDocumentReference.meta.source,,,,,,,
