Profile,Field,MS,IHE-MADO,Consumer,Producer,Documentation
EuMadoDicomKosDocumentReference,identifier,MS,MadoDicomKosDocumentReference.identifier,,,
EuMadoDicomKosDocumentReference,identifier[entryUUID],MS,MadoDicomKosDocumentReference.identifier[entryUUID],,,
EuMadoDicomKosDocumentReference,status,,MadoDicomKosDocumentReference.status,,,
EuMadoDicomKosDocumentReference,docStatus,,MadoDicomKosDocumentReference.docStatus,,,
EuMadoDicomKosDocumentReference,type,MS,MadoDicomKosDocumentReference.type,,,
EuMadoDicomKosDocumentReference,category,MS,MadoDicomKosDocumentReference.category,,,
EuMadoDicomKosDocumentReference,subject,MS,MadoDicomKosDocumentReference.subject,,,
EuMadoDicomKosDocumentReference,date,MS,MadoDicomKosDocumentReference.date,,,
EuMadoDicomKosDocumentReference,author,MS,MadoDicomKosDocumentReference.author,,,
EuMadoDicomKosDocumentReference,author[source-organization],MS,MadoDicomKosDocumentReference.author[source-organization],,,
EuMadoDicomKosDocumentReference,author[source-device],MS,MadoDicomKosDocumentReference.author[source-device],,,
EuMadoDicomKosDocumentReference,authenticator,,MadoDicomKosDocumentReference.authenticator,,,
EuMadoDicomKosDocumentReference,custodian,,MadoDicomKosDocumentReference.custodian,,,
EuMadoDicomKosDocumentReference,relatesTo,MS,MadoDicomKosDocumentReference.relatesTo,,,
EuMadoDicomKosDocumentReference,code,,MadoDicomKosDocumentReference.code,,,
EuMadoDicomKosDocumentReference,target,,MadoDicomKosDocumentReference.target,,,
EuMadoDicomKosDocumentReference,relatesTo[fhirReference],MS,MadoDicomKosDocumentReference.relatesTo[fhirReference],,,
EuMadoDicomKosDocumentReference,description,,MadoDicomKosDocumentReference.description,,,
EuMadoDicomKosDocumentReference,securityLabel,MS,MadoDicomKosDocumentReference.securityLabel,,,
EuMadoDicomKosDocumentReference,content,,MadoDicomKosDocumentReference.content,,,
EuMadoDicomKosDocumentReference,attachment,,MadoDicomKosDocumentReference.attachment,,,
EuMadoDicomKosDocumentReference,contentType,,MadoDicomKosDocumentReference.contentType,,,
EuMadoDicomKosDocumentReference,language,MS,MadoDicomKosDocumentReference.language,,,
EuMadoDicomKosDocumentReference,data,,MadoDicomKosDocumentReference.data,,,
EuMadoDicomKosDocumentReference,size,,MadoDicomKosDocumentReference.size,,,
EuMadoDicomKosDocumentReference,hash,,MadoDicomKosDocumentReference.hash,,,
EuMadoDicomKosDocumentReference,title,,MadoDicomKosDocumentReference.title,,,
EuMadoDicomKosDocumentReference,creation,MS,MadoDicomKosDocumentReference.creation,,,
EuMadoDicomKosDocumentReference,format,MS,MadoDicomKosDocumentReference.format,,,
EuMadoDicomKosDocumentReference,context,,MadoDicomKosDocumentReference.context,,,
EuMadoDicomKosDocumentReference,encounter,,MadoDicomKosDocumentReference.encounter,,,
EuMadoDicomKosDocumentReference,event,,MadoDicomKosDocumentReference.event,,,
EuMadoDicomKosDocumentReference,period,MS,MadoDicomKosDocumentReference.period,,,
EuMadoDicomKosDocumentReference,start,,MadoDicomKosDocumentReference.start,,,
EuMadoDicomKosDocumentReference,end,,MadoDicomKosDocumentReference.end,,,
EuMadoDicomKosDocumentReference,facilityType,MS,MadoDicomKosDocumentReference.facilityType,,,
EuMadoDicomKosDocumentReference,practiceSetting,MS,MadoDicomKosDocumentReference.practiceSetting,,,
EuMadoDicomKosDocumentReference,sourcePatientInfo,MS,MadoDicomKosDocumentReference.sourcePatientInfo,,,
EuMadoDicomKosDocumentReference,reference,,MadoDicomKosDocumentReference.reference,,,
EuMadoDicomKosDocumentReference,type,,MadoDicomKosDocumentReference.type,,,
EuMadoDicomKosDocumentReference,identifier,,MadoDicomKosDocumentReference.identifier,,,
EuMadoDicomKosDocumentReference,display,,MadoDicomKosDocumentReference.display,,,
EuMadoDicomKosDocumentReference,related,,MadoDicomKosDocumentReference.related,,,
EuMadoDicomKosDocumentReference,related[study-instance-uid],MS,MadoDicomKosDocumentReference.related[study-instance-uid],,,
EuMadoDicomKosDocumentReference,related[accession-number],MS,MadoDicomKosDocumentReference.related[accession-number],,,
EuMadoFhirDocumentReference,id,,MadoFhirDocumentReference.id,,,
EuMadoFhirDocumentReference,meta,,MadoFhirDocumentReference.meta,,,
EuMadoFhirDocumentReference,extension,,MadoFhirDocumentReference.extension,,,
EuMadoFhirDocumentReference,versionId,,MadoFhirDocumentReference.versionId,,,
EuMadoFhirDocumentReference,lastUpdated,,MadoFhirDocumentReference.lastUpdated,,,
EuMadoFhirDocumentReference,source,,MadoFhirDocumentReference.source,,,
EuMadoFhirDocumentReference,profile,,MadoFhirDocumentReference.profile,,,
EuMadoFhirDocumentReference,security,,MadoFhirDocumentReference.security,,,
EuMadoFhirDocumentReference,tag,,MadoFhirDocumentReference.tag,,,
EuMadoFhirDocumentReference,implicitRules,,MadoFhirDocumentReference.implicitRules,,,
EuMadoFhirDocumentReference,language,,MadoFhirDocumentReference.language,,,
EuMadoFhirDocumentReference,text,,MadoFhirDocumentReference.text,,,
EuMadoFhirDocumentReference,contained,,MadoFhirDocumentReference.contained,,,
EuMadoFhirDocumentReference,extension[bodysite],MS,MadoFhirDocumentReference.extension[bodysite],,,
EuMadoFhirDocumentReference,extension[concept],,MadoFhirDocumentReference.extension[concept],,,
EuMadoFhirDocumentReference,url,,MadoFhirDocumentReference.url,,,
EuMadoFhirDocumentReference,value[x],,MadoFhirDocumentReference.value[x],,,
EuMadoFhirDocumentReference,extension[reference],,MadoFhirDocumentReference.extension[reference],,,
EuMadoFhirDocumentReference,extension[_datatype],,MadoFhirDocumentReference.extension[_datatype],,,
EuMadoFhirDocumentReference,extension[modality],MS,MadoFhirDocumentReference.extension[modality],,,
EuMadoFhirDocumentReference,modifierExtension,,MadoFhirDocumentReference.modifierExtension,,,
EuMadoFhirDocumentReference,masterIdentifier,,MadoFhirDocumentReference.masterIdentifier,,,
EuMadoFhirDocumentReference,identifier,MS,MadoFhirDocumentReference.identifier,,,
EuMadoFhirDocumentReference,identifier[entryUUID],MS,MadoFhirDocumentReference.identifier[entryUUID],,,
EuMadoFhirDocumentReference,status,,MadoFhirDocumentReference.status,,,
EuMadoFhirDocumentReference,docStatus,,MadoFhirDocumentReference.docStatus,,,
EuMadoFhirDocumentReference,type,MS,MadoFhirDocumentReference.type,,,
EuMadoFhirDocumentReference,category,MS,MadoFhirDocumentReference.category,,,
EuMadoFhirDocumentReference,subject,MS,MadoFhirDocumentReference.subject,,,
EuMadoFhirDocumentReference,date,MS,MadoFhirDocumentReference.date,,,
EuMadoFhirDocumentReference,author,MS,MadoFhirDocumentReference.author,,,
EuMadoFhirDocumentReference,author[source-organization],MS,MadoFhirDocumentReference.author[source-organization],,,
EuMadoFhirDocumentReference,author[source-device],MS,MadoFhirDocumentReference.author[source-device],,,
EuMadoFhirDocumentReference,authenticator,,MadoFhirDocumentReference.authenticator,,,
EuMadoFhirDocumentReference,custodian,,MadoFhirDocumentReference.custodian,,,
EuMadoFhirDocumentReference,relatesTo,MS,MadoFhirDocumentReference.relatesTo,,,
EuMadoFhirDocumentReference,code,,MadoFhirDocumentReference.code,,,
EuMadoFhirDocumentReference,target,,MadoFhirDocumentReference.target,,,
EuMadoFhirDocumentReference,relatesTo[kosReference],MS,MadoFhirDocumentReference.relatesTo[kosReference],,,
EuMadoFhirDocumentReference,description,,MadoFhirDocumentReference.description,,,
EuMadoFhirDocumentReference,securityLabel,MS,MadoFhirDocumentReference.securityLabel,,,
EuMadoFhirDocumentReference,content,,MadoFhirDocumentReference.content,,,
EuMadoFhirDocumentReference,extension[profile],,MadoFhirDocumentReference.extension[profile],,,
EuMadoFhirDocumentReference,extension[value[x]],,MadoFhirDocumentReference.extension[value[x]],,,
EuMadoFhirDocumentReference,value[x][valueCanonical],,MadoFhirDocumentReference.value[x][valueCanonical],,,
EuMadoFhirDocumentReference,attachment,,MadoFhirDocumentReference.attachment,,,
EuMadoFhirDocumentReference,contentType,,MadoFhirDocumentReference.contentType,,,
EuMadoFhirDocumentReference,language,MS,MadoFhirDocumentReference.language,,,
EuMadoFhirDocumentReference,data,,MadoFhirDocumentReference.data,,,
EuMadoFhirDocumentReference,size,,MadoFhirDocumentReference.size,,,
EuMadoFhirDocumentReference,hash,,MadoFhirDocumentReference.hash,,,
EuMadoFhirDocumentReference,title,,MadoFhirDocumentReference.title,,,
EuMadoFhirDocumentReference,creation,MS,MadoFhirDocumentReference.creation,,,
EuMadoFhirDocumentReference,format,MS,MadoFhirDocumentReference.format,,,
EuMadoFhirDocumentReference,system,,MadoFhirDocumentReference.system,,,
EuMadoFhirDocumentReference,version,,MadoFhirDocumentReference.version,,,
EuMadoFhirDocumentReference,display,,MadoFhirDocumentReference.display,,,
EuMadoFhirDocumentReference,userSelected,,MadoFhirDocumentReference.userSelected,,,
EuMadoFhirDocumentReference,context,,MadoFhirDocumentReference.context,,,
EuMadoFhirDocumentReference,encounter,,MadoFhirDocumentReference.encounter,,,
EuMadoFhirDocumentReference,event,,MadoFhirDocumentReference.event,,,
EuMadoFhirDocumentReference,period,MS,MadoFhirDocumentReference.period,,,
EuMadoFhirDocumentReference,start,,MadoFhirDocumentReference.start,,,
EuMadoFhirDocumentReference,end,,MadoFhirDocumentReference.end,,,
EuMadoFhirDocumentReference,facilityType,MS,MadoFhirDocumentReference.facilityType,,,
EuMadoFhirDocumentReference,practiceSetting,MS,MadoFhirDocumentReference.practiceSetting,,,
EuMadoFhirDocumentReference,sourcePatientInfo,MS,MadoFhirDocumentReference.sourcePatientInfo,,,
EuMadoFhirDocumentReference,reference,,MadoFhirDocumentReference.reference,,,
EuMadoFhirDocumentReference,type,,MadoFhirDocumentReference.type,,,
EuMadoFhirDocumentReference,identifier,,MadoFhirDocumentReference.identifier,,,
EuMadoFhirDocumentReference,related,,MadoFhirDocumentReference.related,,,
EuMadoFhirDocumentReference,related[study-instance-uid],MS,MadoFhirDocumentReference.related[study-instance-uid],,,
EuMadoFhirDocumentReference,related[accession-number],MS,MadoFhirDocumentReference.related[accession-number],,,
EuMadoImagingStudy,id,,MadoImagingStudy.id,,,
EuMadoImagingStudy,meta,,MadoImagingStudy.meta,,,
EuMadoImagingStudy,implicitRules,,MadoImagingStudy.implicitRules,,,
EuMadoImagingStudy,language,,MadoImagingStudy.language,,,
EuMadoImagingStudy,text,,MadoImagingStudy.text,,,
EuMadoImagingStudy,contained,,MadoImagingStudy.contained,,,
EuMadoImagingStudy,extension,,MadoImagingStudy.extension,,,
EuMadoImagingStudy,extension[anatomical-region],MS,MadoImagingStudy.extension[anatomical-region],SHOULD:process,SHALL:able-to-populate,EHDSImagingStudy.bodySite
EuMadoImagingStudy,url,,MadoImagingStudy.url,,,
EuMadoImagingStudy,value[x],,MadoImagingStudy.value[x],,,
EuMadoImagingStudy,modifierExtension,,MadoImagingStudy.modifierExtension,,,
EuMadoImagingStudy,identifier,,MadoImagingStudy.identifier,,,
EuMadoImagingStudy,identifier[study-instance-uid],MS,MadoImagingStudy.identifier[study-instance-uid],,SHALL:populate,Required by MADO
EuMadoImagingStudy,status,,MadoImagingStudy.status,,,
EuMadoImagingStudy,modality,MS,MadoImagingStudy.modality,SHOULD:process,SHALL:able-to-populate,EHDSImagingStudy.modality
EuMadoImagingStudy,subject,MS,MadoImagingStudy.subject,SHOULD:process,SHOULD:able-to-populate,EHDSImagingStudy.subject
EuMadoImagingStudy,encounter,,MadoImagingStudy.encounter,,,
EuMadoImagingStudy,started,MS,MadoImagingStudy.started,SHOULD:process,SHALL:able-to-populate,EHDSImagingStudy.started
EuMadoImagingStudy,basedOn,,MadoImagingStudy.basedOn,,,
EuMadoImagingStudy,basedOn[order],MS,MadoImagingStudy.basedOn[order],SHOULD:process,SHOULD:able-to-populate,EHDSImagingStudy.basedOn
EuMadoImagingStudy,referrer,,MadoImagingStudy.referrer,,,
EuMadoImagingStudy,interpreter,,MadoImagingStudy.interpreter,,,
EuMadoImagingStudy,endpoint,,MadoImagingStudy.endpoint,,,
EuMadoImagingStudy,endpoint[webviewer],MS,MadoImagingStudy.endpoint[webviewer],SHOULD:process,SHOULD:able-to-populate,EHDSImagingStudy.endpoint
EuMadoImagingStudy,numberOfSeries,MS,MadoImagingStudy.numberOfSeries,SHOULD:process,SHALL:able-to-populate,EHDSImagingStudy.numberOfSeries
EuMadoImagingStudy,numberOfInstances,MS,MadoImagingStudy.numberOfInstances,SHOULD:process,SHALL:able-to-populate,EHDSImagingStudy.numberOfInstances
EuMadoImagingStudy,procedureReference,,MadoImagingStudy.procedureReference,,,
EuMadoImagingStudy,procedureCode,MS,MadoImagingStudy.procedureCode,,SHALL-populate,Required by MADO
EuMadoImagingStudy,location,,MadoImagingStudy.location,,,
EuMadoImagingStudy,reasonCode,,MadoImagingStudy.reasonCode,,,
EuMadoImagingStudy,reasonReference,,MadoImagingStudy.reasonReference,,,
EuMadoImagingStudy,note,,MadoImagingStudy.note,,,
EuMadoImagingStudy,description,MS,MadoImagingStudy.description,SHOULD:process,SHALL:able-to-populate,EHDSImagingStudy.description
EuMadoImagingStudy,series,MS,MadoImagingStudy.series,SHOULD:process,SHALL:populate,EHDSImagingStudy.series
EuMadoImagingStudy,uid,MS,MadoImagingStudy.uid,SHOULD:process,SHALL:able-to-populate,EHDSImagingStudy.series.uid
EuMadoImagingStudy,number,MS,MadoImagingStudy.number,SHOULD:process,SHALL:able-to-populate,EHDSImagingStudy.series.number
EuMadoImagingStudy,modality,MS,MadoImagingStudy.modality,SHOULD:process,SHALL:able-to-populate,EHDSImagingStudy.series.seriesModality
EuMadoImagingStudy,description,MS,MadoImagingStudy.description,SHOULD:process,SHALL:able-to-populate,EHDSImagingStudy.series.description
EuMadoImagingStudy,numberOfInstances,MS,MadoImagingStudy.numberOfInstances,SHOULD:process,SHALL:able-to-populate,EHDSImagingStudy.series.numberOfInstances
EuMadoImagingStudy,endpoint[wado],MS,MadoImagingStudy.endpoint[wado],SHOULD:process,SHALL:populate,EHDSImagingStudy.endpoint & EHDSImagingStudy.series.seriesEndpoint
EuMadoImagingStudy,bodySite,MS,MadoImagingStudy.bodySite,SHOULD:process,SHALL:able-to-populate,EHDSImagingStudy.series.bodySite
EuMadoImagingStudy,laterality,,MadoImagingStudy.laterality,,,
EuMadoImagingStudy,specimen,MS,MadoImagingStudy.specimen,,SHALL:able-to-populate,Required by MADO
EuMadoImagingStudy,started,MS,MadoImagingStudy.started,SHOULD:process,SHALL:able-to-populate,EHDSImagingStudy.series.started
EuMadoImagingStudy,performer,,MadoImagingStudy.performer,,,
EuMadoImagingStudy,function,,MadoImagingStudy.function,,,
EuMadoImagingStudy,actor,,MadoImagingStudy.actor,,,
EuMadoImagingStudy,instance,,MadoImagingStudy.instance,,,
EuMadoImagingStudy,extension[number-of-frames],MS,MadoImagingStudy.extension[number-of-frames],,SHALL:able-to-populate,Required by MADO
EuMadoImagingStudy,extension[koDocumentTitle],MS,MadoImagingStudy.extension[koDocumentTitle],,SHALL:able-to-populate,Required by MADO
EuMadoImagingStudy,uid,MS,MadoImagingStudy.uid,,SHALL:populate,Required by MADO
EuMadoImagingStudy,sopClass,MS,MadoImagingStudy.sopClass,,SHALL:able-to-populate,Required by MADO
EuMadoImagingStudy,number,MS,MadoImagingStudy.number,,SHALL:able-to-populate,Required by MADO
EuMadoImagingStudy,title,MS,MadoImagingStudy.title,,SHALL:able-to-populate,Required by MADO
EuMadoPatient,id,,MadoPatient.id,,,
EuMadoPatient,meta,,MadoPatient.meta,,,
EuMadoPatient,implicitRules,,MadoPatient.implicitRules,,,
EuMadoPatient,language,,MadoPatient.language,,,
EuMadoPatient,text,,MadoPatient.text,,,
EuMadoPatient,contained,,MadoPatient.contained,,,
EuMadoPatient,extension,,MadoPatient.extension,,,
EuMadoPatient,modifierExtension,,MadoPatient.modifierExtension,,,
EuMadoPatient,identifier,MS,MadoPatient.identifier,,SHALL:able-to-populate,EHDSPatient.identifier
EuMadoPatient,active,,MadoPatient.active,,,
EuMadoPatient,name,MS,MadoPatient.name,,SHALL:able-to-populate,EHDSPatient.name
EuMadoPatient,use,,MadoPatient.use,,SHALL:able-to-populate,EHDSPatient.name.use
EuMadoPatient,text,,MadoPatient.text,,SHOULD:able-to-populate,EHDSPatient.name.text
EuMadoPatient,family,,MadoPatient.family,,SHALL:able-to-populate,EHDSPatient.name.family
EuMadoPatient,given,,MadoPatient.given,,SHALL:able-to-populate,EHDSPatient.name.given
EuMadoPatient,prefix,,MadoPatient.prefix,,,
EuMadoPatient,suffix,,MadoPatient.suffix,,,
EuMadoPatient,period,,MadoPatient.period,,,
EuMadoPatient,telecom,,MadoPatient.telecom,,,
EuMadoPatient,gender,MS,MadoPatient.gender,,SHOULD:able-to-populate,EHDSPatient.administrativeGender
EuMadoPatient,birthDate,MS,MadoPatient.birthDate,,SHOULD:able-to-populate,EHDSPatient.birthDate
EuMadoPatient,deceased[x],,MadoPatient.deceased[x],,,
EuMadoPatient,address,,MadoPatient.address,,,
EuMadoPatient,maritalStatus,,MadoPatient.maritalStatus,,,
EuMadoPatient,multipleBirth[x],,MadoPatient.multipleBirth[x],,,
EuMadoPatient,photo,,MadoPatient.photo,,,
EuMadoPatient,contact,,MadoPatient.contact,,,
EuMadoPatient,relationship,,MadoPatient.relationship,,,
EuMadoPatient,name,,MadoPatient.name,,,
EuMadoPatient,gender,,MadoPatient.gender,,,
EuMadoPatient,organization,,MadoPatient.organization,,,
EuMadoPatient,communication,,MadoPatient.communication,,,
EuMadoPatient,preferred,,MadoPatient.preferred,,,
EuMadoPatient,generalPractitioner,,MadoPatient.generalPractitioner,,,
EuMadoPatient,managingOrganization,,MadoPatient.managingOrganization,,,
EuMadoPatient,link,,MadoPatient.link,,,
EuMadoPatient,other,,MadoPatient.other,,,
EuMadoPatient,type,,MadoPatient.type,,,
EuMadoRequestedProcedure,id,,MadoRequestedProcedure.id,,,
EuMadoRequestedProcedure,meta,,MadoRequestedProcedure.meta,,,
EuMadoRequestedProcedure,implicitRules,,MadoRequestedProcedure.implicitRules,,,
EuMadoRequestedProcedure,language,,MadoRequestedProcedure.language,,,
EuMadoRequestedProcedure,text,,MadoRequestedProcedure.text,,,
EuMadoRequestedProcedure,contained,,MadoRequestedProcedure.contained,,,
EuMadoRequestedProcedure,extension,,MadoRequestedProcedure.extension,,,
EuMadoRequestedProcedure,modifierExtension,,MadoRequestedProcedure.modifierExtension,,,
EuMadoRequestedProcedure,identifier,,MadoRequestedProcedure.identifier,,,
EuMadoRequestedProcedure,identifier[accessionNumber],MS,MadoRequestedProcedure.identifier[accessionNumber],,SHALL:populate,Required by MADO
EuMadoRequestedProcedure,identifier[placer],MS,MadoRequestedProcedure.identifier[placer],,SHALL:able-to-populate,Required by MADO
EuMadoRequestedProcedure,use,,MadoRequestedProcedure.use,,,
EuMadoRequestedProcedure,type,,MadoRequestedProcedure.type,,,
EuMadoRequestedProcedure,coding,,MadoRequestedProcedure.coding,,,
EuMadoRequestedProcedure,coding[placer],,MadoRequestedProcedure.coding[placer],,,
EuMadoRequestedProcedure,system,,MadoRequestedProcedure.system,,,
EuMadoRequestedProcedure,version,,MadoRequestedProcedure.version,,,
EuMadoRequestedProcedure,code,,MadoRequestedProcedure.code,,,
EuMadoRequestedProcedure,display,,MadoRequestedProcedure.display,,,
EuMadoRequestedProcedure,userSelected,,MadoRequestedProcedure.userSelected,,,
EuMadoRequestedProcedure,value,,MadoRequestedProcedure.value,,,
EuMadoRequestedProcedure,period,,MadoRequestedProcedure.period,,,
EuMadoRequestedProcedure,assigner,,MadoRequestedProcedure.assigner,,,
EuMadoRequestedProcedure,identifier[filler],,MadoRequestedProcedure.identifier[filler],,,
EuMadoRequestedProcedure,coding[filler],,MadoRequestedProcedure.coding[filler],,,
EuMadoRequestedProcedure,instantiatesCanonical,,MadoRequestedProcedure.instantiatesCanonical,,,
EuMadoRequestedProcedure,instantiatesUri,,MadoRequestedProcedure.instantiatesUri,,,
EuMadoRequestedProcedure,basedOn,,MadoRequestedProcedure.basedOn,,,
