IHE-MADO,EU-MADO,MS,Consumer,Producer,Documentation,EHDS,EHDS-Consumer,EHDS-Producer
MadoComposition.subject,EuMadoComposition.subject,MS,SHOULD:process,SHALL:able-to-populate,EHDSImagingStudy.subject,,,
MadoComposition.encounter,EuMadoComposition.encounter,,,,,,,
MadoComposition.date,EuMadoComposition.date,MS,SHOULD:process,SHALL:able-to-populate,EHDSImagingStudy.date,,,
MadoComposition.author,EuMadoComposition.author,,,,,,,
MadoComposition.author[source-organization],EuMadoComposition.author[source-organization],MS,SHOULD:process,SHALL:able-to-populate,EHDSImagingStudy.author[EHDSOrganization],,,
MadoComposition.author[source-device],EuMadoComposition.author[source-device],MS,SHOULD:process,SHALL:able-to-populate,EHDSImagingStudy.author[EHDSDevice],,,
MadoComposition.title,EuMadoComposition.title,MS,,SHALL:populate,From MADO,,,
MadoComposition.confidentiality,EuMadoComposition.confidentiality,,,,,,,
MadoComposition.attester,EuMadoComposition.attester,,,,,,,
MadoComposition.mode,EuMadoComposition.mode,,,,,,,
MadoComposition.time,EuMadoComposition.time,,,,,,,
MadoComposition.party,EuMadoComposition.party,,,,,,,
MadoComposition.custodian,EuMadoComposition.custodian,MS,SHOULD:process,SHALL:able-to-populate,EHDSImagingStudy.custodian,,,
MadoComposition.relatesTo,EuMadoComposition.relatesTo,,,,,,,
MadoComposition.code,EuMadoComposition.code,,,,,,,
MadoComposition.target[x],EuMadoComposition.target[x],,,,,,,
MadoComposition.event,EuMadoComposition.event,,,,,,,
MadoComposition.period,EuMadoComposition.period,,,,,,,
MadoComposition.detail,EuMadoComposition.detail,,,,,,,
MadoComposition.event[imaging-study],EuMadoComposition.event[imaging-study],MS,,SHALL:populate,From MADO,,,
MadoComposition.section,EuMadoComposition.section,MS,,MAY:able-to-populate,From MADO,,,
MadoComposition.title,EuMadoComposition.title,,,,,,,
MadoComposition.focus,EuMadoComposition.focus,,,,,,,
MadoComposition.orderedBy,EuMadoComposition.orderedBy,,,,,,,
MadoComposition.entry,EuMadoComposition.entry,,,,,,,
MadoComposition.emptyReason,EuMadoComposition.emptyReason,,,,,,,
MadoComposition.section,EuMadoComposition.section,,,,,,,
MadoDicomKosDocumentReference.id,EuMadoDicomKosDocumentReference.id,,,,,,,
MadoDicomKosDocumentReference.meta,EuMadoDicomKosDocumentReference.meta,,,,,,,
MadoDicomKosDocumentReference.extension,EuMadoDicomKosDocumentReference.extension,,,,,,,
MadoDicomKosDocumentReference.versionId,EuMadoDicomKosDocumentReference.versionId,,,,,,,
MadoDicomKosDocumentReference.lastUpdated,EuMadoDicomKosDocumentReference.lastUpdated,,,,,,,
MadoDicomKosDocumentReference.source,EuMadoDicomKosDocumentReference.source,,,,,,,
MadoDicomKosDocumentReference.profile,EuMadoDicomKosDocumentReference.profile,,,,,,,
MadoDicomKosDocumentReference.security,EuMadoDicomKosDocumentReference.security,,,,,,,
MadoDicomKosDocumentReference.tag,EuMadoDicomKosDocumentReference.tag,,,,,,,
MadoDicomKosDocumentReference.implicitRules,EuMadoDicomKosDocumentReference.implicitRules,,,,,,,
MadoDicomKosDocumentReference.language,EuMadoDicomKosDocumentReference.language,MS,,,,,,
MadoDicomKosDocumentReference.text,EuMadoDicomKosDocumentReference.text,,,,,,,
MadoDicomKosDocumentReference.contained,EuMadoDicomKosDocumentReference.contained,,,,,,,
MadoDicomKosDocumentReference.extension[bodysite],EuMadoDicomKosDocumentReference.extension[bodysite],MS,,,,,,
MadoDicomKosDocumentReference.extension[concept],EuMadoDicomKosDocumentReference.extension[concept],,,,,,,
MadoDicomKosDocumentReference.url,EuMadoDicomKosDocumentReference.url,,,,,,,
MadoDicomKosDocumentReference.value[x],EuMadoDicomKosDocumentReference.value[x],,,,,,,
MadoDicomKosDocumentReference.extension[reference],EuMadoDicomKosDocumentReference.extension[reference],,,,,,,
MadoDicomKosDocumentReference.extension[_datatype],EuMadoDicomKosDocumentReference.extension[_datatype],,,,,,,
MadoDicomKosDocumentReference.extension[modality],EuMadoDicomKosDocumentReference.extension[modality],MS,,,,,,
MadoDicomKosDocumentReference.modifierExtension,EuMadoDicomKosDocumentReference.modifierExtension,,,,,,,
MadoDicomKosDocumentReference.masterIdentifier,EuMadoDicomKosDocumentReference.masterIdentifier,,,,,,,
MadoDicomKosDocumentReference.identifier,EuMadoDicomKosDocumentReference.identifier,MS,,,,,,
MadoDicomKosDocumentReference.identifier[entryUUID],EuMadoDicomKosDocumentReference.identifier[entryUUID],MS,,,,,,
MadoDicomKosDocumentReference.status,EuMadoDicomKosDocumentReference.status,,,,,,,
MadoDicomKosDocumentReference.docStatus,EuMadoDicomKosDocumentReference.docStatus,,,,,,,
MadoDicomKosDocumentReference.type,EuMadoDicomKosDocumentReference.type,MS,,,,,,
MadoDicomKosDocumentReference.category,EuMadoDicomKosDocumentReference.category,MS,,,,,,
MadoDicomKosDocumentReference.subject,EuMadoDicomKosDocumentReference.subject,MS,,,,,,
MadoDicomKosDocumentReference.date,EuMadoDicomKosDocumentReference.date,MS,,,,,,
MadoDicomKosDocumentReference.author,EuMadoDicomKosDocumentReference.author,MS,,,,,,
MadoDicomKosDocumentReference.author[source-organization],EuMadoDicomKosDocumentReference.author[source-organization],MS,,,,,,
MadoDicomKosDocumentReference.author[source-device],EuMadoDicomKosDocumentReference.author[source-device],MS,,,,,,
MadoDicomKosDocumentReference.authenticator,EuMadoDicomKosDocumentReference.authenticator,,,,,,,
MadoDicomKosDocumentReference.custodian,EuMadoDicomKosDocumentReference.custodian,,,,,,,
MadoDicomKosDocumentReference.relatesTo,EuMadoDicomKosDocumentReference.relatesTo,MS,,,,,,
MadoDicomKosDocumentReference.code,EuMadoDicomKosDocumentReference.code,,,,,,,
MadoDicomKosDocumentReference.target,EuMadoDicomKosDocumentReference.target,,,,,,,
MadoDicomKosDocumentReference.relatesTo[fhirReference],EuMadoDicomKosDocumentReference.relatesTo[fhirReference],MS,,,,,,
MadoDicomKosDocumentReference.description,EuMadoDicomKosDocumentReference.description,,,,,,,
MadoDicomKosDocumentReference.securityLabel,EuMadoDicomKosDocumentReference.securityLabel,MS,,,,,,
MadoDicomKosDocumentReference.content,EuMadoDicomKosDocumentReference.content,,,,,,,
MadoDicomKosDocumentReference.attachment,EuMadoDicomKosDocumentReference.attachment,,,,,,,
MadoDicomKosDocumentReference.contentType,EuMadoDicomKosDocumentReference.contentType,,,,,,,
MadoDicomKosDocumentReference.data,EuMadoDicomKosDocumentReference.data,,,,,,,
MadoDicomKosDocumentReference.size,EuMadoDicomKosDocumentReference.size,,,,,,,
MadoDicomKosDocumentReference.hash,EuMadoDicomKosDocumentReference.hash,,,,,,,
MadoDicomKosDocumentReference.title,EuMadoDicomKosDocumentReference.title,,,,,,,
MadoDicomKosDocumentReference.creation,EuMadoDicomKosDocumentReference.creation,MS,,,,,,
MadoDicomKosDocumentReference.format,EuMadoDicomKosDocumentReference.format,MS,,,,,,
MadoDicomKosDocumentReference.context,EuMadoDicomKosDocumentReference.context,,,,,,,
MadoDicomKosDocumentReference.encounter,EuMadoDicomKosDocumentReference.encounter,,,,,,,
MadoDicomKosDocumentReference.event,EuMadoDicomKosDocumentReference.event,,,,,,,
MadoDicomKosDocumentReference.period,EuMadoDicomKosDocumentReference.period,MS,,,,,,
MadoDicomKosDocumentReference.start,EuMadoDicomKosDocumentReference.start,,,,,,,
MadoDicomKosDocumentReference.end,EuMadoDicomKosDocumentReference.end,,,,,,,
MadoDicomKosDocumentReference.facilityType,EuMadoDicomKosDocumentReference.facilityType,MS,,,,,,
MadoDicomKosDocumentReference.practiceSetting,EuMadoDicomKosDocumentReference.practiceSetting,MS,,,,,,
MadoDicomKosDocumentReference.sourcePatientInfo,EuMadoDicomKosDocumentReference.sourcePatientInfo,MS,,,,,,
MadoDicomKosDocumentReference.reference,EuMadoDicomKosDocumentReference.reference,,,,,,,
MadoDicomKosDocumentReference.type,EuMadoDicomKosDocumentReference.type,,,,,,,
MadoDicomKosDocumentReference.identifier,EuMadoDicomKosDocumentReference.identifier,,,,,,,
MadoDicomKosDocumentReference.display,EuMadoDicomKosDocumentReference.display,,,,,,,
MadoDicomKosDocumentReference.related,EuMadoDicomKosDocumentReference.related,,,,,,,
MadoDicomKosDocumentReference.related[study-instance-uid],EuMadoDicomKosDocumentReference.related[study-instance-uid],MS,,,,,,
MadoDicomKosDocumentReference.related[accession-number],EuMadoDicomKosDocumentReference.related[accession-number],MS,,,,,,
MadoFhirDocumentReference.id,EuMadoFhirDocumentReference.id,,,,,,,
MadoFhirDocumentReference.meta,EuMadoFhirDocumentReference.meta,,,,,,,
MadoFhirDocumentReference.extension,EuMadoFhirDocumentReference.extension,,,,,,,
MadoFhirDocumentReference.versionId,EuMadoFhirDocumentReference.versionId,,,,,,,
MadoFhirDocumentReference.lastUpdated,EuMadoFhirDocumentReference.lastUpdated,,,,,,,
MadoFhirDocumentReference.source,EuMadoFhirDocumentReference.source,,,,,,,
MadoFhirDocumentReference.profile,EuMadoFhirDocumentReference.profile,,,,,,,
MadoFhirDocumentReference.security,EuMadoFhirDocumentReference.security,,,,,,,
MadoFhirDocumentReference.tag,EuMadoFhirDocumentReference.tag,,,,,,,
MadoFhirDocumentReference.implicitRules,EuMadoFhirDocumentReference.implicitRules,,,,,,,
MadoFhirDocumentReference.language,EuMadoFhirDocumentReference.language,MS,,,,,,
MadoFhirDocumentReference.text,EuMadoFhirDocumentReference.text,,,,,,,
MadoFhirDocumentReference.contained,EuMadoFhirDocumentReference.contained,,,,,,,
MadoFhirDocumentReference.extension[bodysite],EuMadoFhirDocumentReference.extension[bodysite],MS,,,,,,
MadoFhirDocumentReference.extension[concept],EuMadoFhirDocumentReference.extension[concept],,,,,,,
MadoFhirDocumentReference.url,EuMadoFhirDocumentReference.url,,,,,,,
MadoFhirDocumentReference.value[x],EuMadoFhirDocumentReference.value[x],,,,,,,
MadoFhirDocumentReference.extension[reference],EuMadoFhirDocumentReference.extension[reference],,,,,,,
MadoFhirDocumentReference.extension[_datatype],EuMadoFhirDocumentReference.extension[_datatype],,,,,,,
MadoFhirDocumentReference.extension[modality],EuMadoFhirDocumentReference.extension[modality],MS,,,,,,
MadoFhirDocumentReference.modifierExtension,EuMadoFhirDocumentReference.modifierExtension,,,,,,,
MadoFhirDocumentReference.masterIdentifier,EuMadoFhirDocumentReference.masterIdentifier,,,,,,,
MadoFhirDocumentReference.identifier,EuMadoFhirDocumentReference.identifier,MS,,,,,,
MadoFhirDocumentReference.identifier[entryUUID],EuMadoFhirDocumentReference.identifier[entryUUID],MS,,,,,,
MadoFhirDocumentReference.status,EuMadoFhirDocumentReference.status,,,,,,,
MadoFhirDocumentReference.docStatus,EuMadoFhirDocumentReference.docStatus,,,,,,,
MadoFhirDocumentReference.type,EuMadoFhirDocumentReference.type,MS,,,,,,
MadoFhirDocumentReference.category,EuMadoFhirDocumentReference.category,MS,,,,,,
MadoFhirDocumentReference.subject,EuMadoFhirDocumentReference.subject,MS,,,,,,
MadoFhirDocumentReference.date,EuMadoFhirDocumentReference.date,MS,,,,,,
MadoFhirDocumentReference.author,EuMadoFhirDocumentReference.author,MS,,,,,,
MadoFhirDocumentReference.author[source-organization],EuMadoFhirDocumentReference.author[source-organization],MS,,,,,,
MadoFhirDocumentReference.author[source-device],EuMadoFhirDocumentReference.author[source-device],MS,,,,,,
MadoFhirDocumentReference.authenticator,EuMadoFhirDocumentReference.authenticator,,,,,,,
MadoFhirDocumentReference.custodian,EuMadoFhirDocumentReference.custodian,,,,,,,
MadoFhirDocumentReference.relatesTo,EuMadoFhirDocumentReference.relatesTo,MS,,,,,,
MadoFhirDocumentReference.code,EuMadoFhirDocumentReference.code,,,,,,,
MadoFhirDocumentReference.target,EuMadoFhirDocumentReference.target,,,,,,,
MadoFhirDocumentReference.relatesTo[kosReference],EuMadoFhirDocumentReference.relatesTo[kosReference],MS,,,,,,
MadoFhirDocumentReference.description,EuMadoFhirDocumentReference.description,,,,,,,
MadoFhirDocumentReference.securityLabel,EuMadoFhirDocumentReference.securityLabel,MS,,,,,,
MadoFhirDocumentReference.content,EuMadoFhirDocumentReference.content,,,,,,,
MadoFhirDocumentReference.extension[profile],EuMadoFhirDocumentReference.extension[profile],,,,,,,
MadoFhirDocumentReference.extension[value[x]],EuMadoFhirDocumentReference.extension[value[x]],,,,,,,
MadoFhirDocumentReference.value[x][valueCanonical],EuMadoFhirDocumentReference.value[x][valueCanonical],,,,,,,
MadoFhirDocumentReference.attachment,EuMadoFhirDocumentReference.attachment,,,,,,,
MadoFhirDocumentReference.contentType,EuMadoFhirDocumentReference.contentType,,,,,,,
MadoFhirDocumentReference.data,EuMadoFhirDocumentReference.data,,,,,,,
MadoFhirDocumentReference.size,EuMadoFhirDocumentReference.size,,,,,,,
MadoFhirDocumentReference.hash,EuMadoFhirDocumentReference.hash,,,,,,,
MadoFhirDocumentReference.title,EuMadoFhirDocumentReference.title,,,,,,,
MadoFhirDocumentReference.creation,EuMadoFhirDocumentReference.creation,MS,,,,,,
MadoFhirDocumentReference.format,EuMadoFhirDocumentReference.format,MS,,,,,,
MadoFhirDocumentReference.system,EuMadoFhirDocumentReference.system,,,,,,,
MadoFhirDocumentReference.version,EuMadoFhirDocumentReference.version,,,,,,,
MadoFhirDocumentReference.display,EuMadoFhirDocumentReference.display,,,,,,,
MadoFhirDocumentReference.userSelected,EuMadoFhirDocumentReference.userSelected,,,,,,,
MadoFhirDocumentReference.context,EuMadoFhirDocumentReference.context,,,,,,,
MadoFhirDocumentReference.encounter,EuMadoFhirDocumentReference.encounter,,,,,,,
MadoFhirDocumentReference.event,EuMadoFhirDocumentReference.event,,,,,,,
MadoFhirDocumentReference.period,EuMadoFhirDocumentReference.period,MS,,,,,,
MadoFhirDocumentReference.start,EuMadoFhirDocumentReference.start,,,,,,,
MadoFhirDocumentReference.end,EuMadoFhirDocumentReference.end,,,,,,,
MadoFhirDocumentReference.facilityType,EuMadoFhirDocumentReference.facilityType,MS,,,,,,
MadoFhirDocumentReference.practiceSetting,EuMadoFhirDocumentReference.practiceSetting,MS,,,,,,
MadoFhirDocumentReference.sourcePatientInfo,EuMadoFhirDocumentReference.sourcePatientInfo,MS,,,,,,
MadoFhirDocumentReference.reference,EuMadoFhirDocumentReference.reference,,,,,,,
MadoFhirDocumentReference.type,EuMadoFhirDocumentReference.type,,,,,,,
MadoFhirDocumentReference.identifier,EuMadoFhirDocumentReference.identifier,,,,,,,
MadoFhirDocumentReference.related,EuMadoFhirDocumentReference.related,,,,,,,
MadoFhirDocumentReference.related[study-instance-uid],EuMadoFhirDocumentReference.related[study-instance-uid],MS,,,,,,
MadoFhirDocumentReference.related[accession-number],EuMadoFhirDocumentReference.related[accession-number],MS,,,,,,
MadoImagingStudy.id,EuMadoImagingStudy.id,,,,,,,
MadoImagingStudy.meta,EuMadoImagingStudy.meta,,,,,,,
MadoImagingStudy.implicitRules,EuMadoImagingStudy.implicitRules,,,,,,,
MadoImagingStudy.language,EuMadoImagingStudy.language,,,,,,,
MadoImagingStudy.text,EuMadoImagingStudy.text,,,,,,,
MadoImagingStudy.contained,EuMadoImagingStudy.contained,,,,,,,
MadoImagingStudy.extension,EuMadoImagingStudy.extension,,,,,,,
MadoImagingStudy.extension[anatomical-region],EuMadoImagingStudy.extension[anatomical-region],MS,SHOULD:process,SHALL:able-to-populate,EHDSImagingStudy.bodySite,EHDSImagingStudy.bodySite,SHOULD:process,SHALL:able-to-populate
,EuMadoImagingStudy.url,,,,,,,
,EuMadoImagingStudy.value[x],,,,,,,
MadoImagingStudy.modifierExtension,EuMadoImagingStudy.modifierExtension,,,,,,,
MadoImagingStudy.identifier,EuMadoImagingStudy.identifier,,,,,,,
MadoImagingStudy.identifier[study-instance-uid],EuMadoImagingStudy.identifier[study-instance-uid],MS,,SHALL:populate,Required by MADO,,,
MadoImagingStudy.status,EuMadoImagingStudy.status,,,,,,,
MadoImagingStudy.modality,EuMadoImagingStudy.modality,MS,SHOULD:process,SHALL:able-to-populate,EHDSImagingStudy.modality,EHDSImagingStudy.modality,SHOULD:process,SHALL:able-to-populate
MadoImagingStudy.subject,EuMadoImagingStudy.subject,MS,SHOULD:process,SHOULD:able-to-populate,EHDSImagingStudy.subject,,,
MadoImagingStudy.encounter,EuMadoImagingStudy.encounter,,,,,,,
MadoImagingStudy.started,EuMadoImagingStudy.started,MS,SHOULD:process,SHALL:able-to-populate,EHDSImagingStudy.started,EHDSImagingStudy.started,SHOULD:process,SHALL:able-to-populate
MadoImagingStudy.basedOn,EuMadoImagingStudy.basedOn,,,,,,,
MadoImagingStudy.basedOn[order],EuMadoImagingStudy.basedOn[order],MS,SHOULD:process,SHOULD:able-to-populate,EHDSImagingStudy.basedOn,EHDSImagingStudy.basedOn,SHOULD:process,SHOULD:able-to-populate
MadoImagingStudy.referrer,EuMadoImagingStudy.referrer,,,,,,,
MadoImagingStudy.interpreter,EuMadoImagingStudy.interpreter,,,,,,,
MadoImagingStudy.endpoint,EuMadoImagingStudy.endpoint,,,,,,,
MadoImagingStudy.endpoint[webviewer],EuMadoImagingStudy.endpoint[webviewer],MS,SHOULD:process,SHOULD:able-to-populate,EHDSImagingStudy.endpoint,,,
MadoImagingStudy.numberOfSeries,EuMadoImagingStudy.numberOfSeries,MS,SHOULD:process,SHALL:able-to-populate,EHDSImagingStudy.numberOfSeries,EHDSImagingStudy.numberOfSeries,SHOULD:process,SHALL:able-to-populate
MadoImagingStudy.numberOfInstances,EuMadoImagingStudy.numberOfInstances,MS,SHOULD:process,SHALL:able-to-populate,EHDSImagingStudy.numberOfInstances,EHDSImagingStudy.numberOfInstances,SHOULD:process,SHALL:able-to-populate
MadoImagingStudy.procedureReference,EuMadoImagingStudy.procedureReference,,,,,,,
MadoImagingStudy.procedureCode,EuMadoImagingStudy.procedureCode,MS,,SHALL-populate,Required by MADO,,,
MadoImagingStudy.location,EuMadoImagingStudy.location,,,,,,,
MadoImagingStudy.reasonCode,EuMadoImagingStudy.reasonCode,,,,,,,
MadoImagingStudy.reasonReference,EuMadoImagingStudy.reasonReference,,,,,,,
MadoImagingStudy.note,EuMadoImagingStudy.note,,,,,,,
MadoImagingStudy.description,EuMadoImagingStudy.description,MS,SHOULD:process,SHALL:able-to-populate,EHDSImagingStudy.description,EHDSImagingStudy.description,SHOULD:process,SHALL:able-to-populate
MadoImagingStudy.series,EuMadoImagingStudy.series,MS,SHOULD:process,SHALL:populate,EHDSImagingStudy.series,EHDSImagingStudy.series,SHOULD:process,SHALL:able-to-populate
MadoImagingStudy.uid,EuMadoImagingStudy.uid,MS,SHOULD:process,SHALL:able-to-populate,EHDSImagingStudy.series.uid,,,
MadoImagingStudy.number,EuMadoImagingStudy.number,MS,SHOULD:process,SHALL:able-to-populate,EHDSImagingStudy.series.number,EHDSImagingStudy.series.number,SHOULD:process,SHOULD:able-to-populate
MadoImagingStudy.modality,EuMadoImagingStudy.modality,MS,SHOULD:process,SHALL:able-to-populate,EHDSImagingStudy.series.seriesModality,EHDSImagingStudy.series.seriesModality,SHOULD:process,SHALL:able-to-populate
MadoImagingStudy.description,EuMadoImagingStudy.description,MS,SHOULD:process,SHALL:able-to-populate,EHDSImagingStudy.series.description,EHDSImagingStudy.series.description,SHOULD:process,SHALL:able-to-populate
MadoImagingStudy.numberOfInstances,EuMadoImagingStudy.numberOfInstances,MS,SHOULD:process,SHALL:able-to-populate,EHDSImagingStudy.series.numberOfInstances,EHDSImagingStudy.series.numberOfInstances,SHOULD:process,SHALL:able-to-populate
MadoImagingStudy.endpoint[wado],EuMadoImagingStudy.endpoint[wado],MS,SHOULD:process,SHALL:populate,EHDSImagingStudy.endpoint & EHDSImagingStudy.series.seriesEndpoint,EHDSImagingStudy.series.seriesEndpoint,SHALL:process,SHALL:able-to-populate
MadoImagingStudy.bodySite,EuMadoImagingStudy.bodySite,MS,SHOULD:process,SHALL:able-to-populate,EHDSImagingStudy.series.bodySite,EHDSImagingStudy.series.bodySite,SHOULD:process,SHALL:able-to-populate
MadoImagingStudy.laterality,EuMadoImagingStudy.laterality,,,,,,,
MadoImagingStudy.specimen,EuMadoImagingStudy.specimen,MS,,SHALL:able-to-populate,Required by MADO,,,
MadoImagingStudy.started,EuMadoImagingStudy.started,MS,SHOULD:process,SHALL:able-to-populate,EHDSImagingStudy.series.started,EHDSImagingStudy.series.started,SHOULD:process,SHALL:able-to-populate
MadoImagingStudy.performer,EuMadoImagingStudy.performer,,,,,,,
MadoImagingStudy.function,EuMadoImagingStudy.function,,,,,,,
MadoImagingStudy.actor,EuMadoImagingStudy.actor,,,,,,,
MadoImagingStudy.instance,EuMadoImagingStudy.instance,,,,,,,
MadoImagingStudy.extension[number-of-frames],EuMadoImagingStudy.extension[number-of-frames],MS,,SHALL:able-to-populate,Required by MADO,,,
MadoImagingStudy.extension[koDocumentTitle],EuMadoImagingStudy.extension[koDocumentTitle],MS,,SHALL:able-to-populate,Required by MADO,,,
MadoImagingStudy.uid,EuMadoImagingStudy.uid,MS,,SHALL:populate,Required by MADO,,,
MadoImagingStudy.sopClass,EuMadoImagingStudy.sopClass,MS,,SHALL:able-to-populate,Required by MADO,,,
MadoImagingStudy.number,EuMadoImagingStudy.number,MS,,SHALL:able-to-populate,Required by MADO,,,
MadoImagingStudy.title,EuMadoImagingStudy.title,MS,,SHALL:able-to-populate,Required by MADO,,,
MadoPatient.id,EuMadoPatient.id,,,,,,,
MadoPatient.meta,EuMadoPatient.meta,,,,,,,
MadoPatient.implicitRules,EuMadoPatient.implicitRules,,,,,,,
MadoPatient.language,EuMadoPatient.language,,,,,,,
MadoPatient.text,EuMadoPatient.text,,,,,,,
MadoPatient.contained,EuMadoPatient.contained,,,,,,,
MadoPatient.extension,EuMadoPatient.extension,,,,,,,
MadoPatient.modifierExtension,EuMadoPatient.modifierExtension,,,,,,,
MadoPatient.identifier,EuMadoPatient.identifier,MS,,SHALL:able-to-populate,EHDSPatient.identifier,EHDSPatient.identifier,,SHALL:able-to-populate
MadoPatient.active,EuMadoPatient.active,,,,,,,
MadoPatient.name,EuMadoPatient.name,MS,,SHALL:able-to-populate,EHDSPatient.name,EHDSPatient.name,,SHALL:able-to-populate
,EuMadoPatient.use,,,SHALL:able-to-populate,EHDSPatient.name.use,,,
MadoPatient.text,EuMadoPatient.text,,,SHOULD:able-to-populate,EHDSPatient.name.text,,,
,EuMadoPatient.family,,,SHALL:able-to-populate,EHDSPatient.name.family,,,
,EuMadoPatient.given,,,SHALL:able-to-populate,EHDSPatient.name.given,,,
,EuMadoPatient.prefix,,,,,,,
,EuMadoPatient.suffix,,,,,,,
MadoPatient.period,EuMadoPatient.period,,,,,,,
MadoPatient.telecom,EuMadoPatient.telecom,,,,,,,
MadoPatient.gender,EuMadoPatient.gender,MS,,SHOULD:able-to-populate,EHDSPatient.administrativeGender,EHDSPatient.administrativeGender,,SHOULD:able-to-populate
MadoPatient.birthDate,EuMadoPatient.birthDate,MS,,SHOULD:able-to-populate,EHDSPatient.birthDate,,,
MadoPatient.deceased[x],EuMadoPatient.deceased[x],,,,,,,
MadoPatient.address,EuMadoPatient.address,,,,,,,
MadoPatient.maritalStatus,EuMadoPatient.maritalStatus,,,,,,,
MadoPatient.multipleBirth[x],EuMadoPatient.multipleBirth[x],,,,,,,
MadoPatient.photo,EuMadoPatient.photo,,,,,,,
MadoPatient.contact,EuMadoPatient.contact,,,,,,,
MadoPatient.relationship,EuMadoPatient.relationship,,,,,,,
